Unnamed: 0,reviews,word_count,sentiment,sentiment_label,vader_sentiment,vader_sentiment_label,tokenized_reviews
0,prior to boarding a gate agent seemed to pick on elderly people and asked them to check in relatively small bags by contrast the same staff member looked the other way to a boisterous group of 20 somethings all of whom had large amounts of luggage london gatwick to marrakech with british airways was rather disappointing the flight is just over 3 hours and during this flight passengers in economy were offered a tiny packet of digestive biscuits no water was offered other than a cabin crew member walking through the aisle with a bottle of mineral water and plastic cups she claimed she ran out of water and so many passengers did not even get that miserly offering there was no route map on this a320 the captain made only 2 very brief announcements when i needed to use the lavatory one cabin crew member rudely drew the curtain as she was sitting behind the lavatories with one of her colleagues  they were loudly talking about their boyfriends and ignored an elderly man who was struggling to open the small door to the lavatory i shall add that the lavatory was unclean and had water on the floor one concern was the seemingly casual approach to the safety demonstration disembarkation was not well managed either this route is very competitive and these days one has a lot of choice i will not use british airways on this route,239,-0.07678571428571429,negative,-0.9026,negative,"['prior', 'boarding', 'gate', 'agent', 'seemed', 'pick', 'elderly', 'people', 'asked', 'check', 'relatively', 'small', 'bags', 'contrast', 'staff', 'member', 'looked', 'way', 'boisterous', 'group', 'somethings', 'large', 'amounts', 'luggage', 'london', 'gatwick', 'marrakech', 'british', 'airways', 'rather', 'disappointing', 'flight', 'hours', 'flight', 'passengers', 'economy', 'offered', 'tiny', 'packet', 'digestive', 'biscuits', 'water', 'offered', 'cabin', 'crew', 'member', 'walking', 'aisle', 'bottle', 'mineral', 'water', 'plastic', 'cups', 'claimed', 'ran', 'water', 'many', 'passengers', 'even', 'get', 'miserly', 'offering', 'route', 'map', 'captain', 'made', 'brief', 'announcements', 'needed', 'use', 'lavatory', 'one', 'cabin', 'crew', 'member', 'rudely', 'drew', 'curtain', 'sitting', 'behind', 'lavatories', 'one', 'colleagues', 'loudly', 'talking', 'boyfriends', 'ignored', 'elderly', 'man', 'struggling', 'open', 'small', 'door', 'lavatory', 'shall', 'add', 'lavatory', 'unclean', 'water', 'floor', 'one', 'concern', 'seemingly', 'casual', 'approach', 'safety', 'demonstration', 'disembarkation', 'well', 'managed', 'either', 'route', 'competitive', 'days', 'one', 'lot', 'choice', 'use', 'british', 'airways', 'route']"
1,i flew from amsterdam to las vegas with a layover in heathrow in november 2024 the day we were flying the weather wasnt great since i was on business i really needed to get to las vegas we anticipated on it and checked early if our flight was still leaving we would have had ample time to catch an earlier flight to heathrow or even take the train when we checked according to google our flight was delayed and we would miss our connection according to the staff of british airways the flight was not delayed and there was no reason for panic when we got to the airport there was still nothing wrong with our connection an hour before we were supposed to leave it was announced that the plane wasnt there yet and we would have a major delay we called customer service and they told us to just go to london and see from there we wanted some kind of assurance that we could be placed in a hotel since we would not be making our connecting flight and they refused to give those in the end we found a direct flight the next day and convinced british airways to book that for us even though they wanted to connect us through 3 additional layovers this resulted in approximately a 24 hour delay in our trip on our way back home they lost our luggage at the gate and took approximately 2 hours to find it at a wrong gate on the way back we tried to check in through the online portal my colleague was able to check in just fine but i couldnt i was afraid i was overbooked and contacted customer service 3 times  when i got to the airport i was overbooked and the ground staff had the nerve to tell me it was my fault for not checking in online since we were seated in premium economy i could be moved to regular economy but that does mean someone in economy was bumped off the plane when we got to london our flight back to amsterdam was delayed this was because there were disabled people on board of the plane still and there were not enough wheelchairs to get them off it took approximately 2 hours before boarding could begin  when we finally boarded we were told we needed a new pilot because the old pilot had now made too many hours waiting around to still fly us to amsterdam arriving in amsterdam they had left my luggage in las vegas so i needed to wait for another week before that was given back to me afterwards i have made a claim as soon as possible for my delays and hotel costs its been almost 3 months and they still havent replied every time i contact them they claim they have such a huge backlog that it takes long to process them,490,0.03758417508417509,positive,-0.8095,negative,"['flew', 'amsterdam', 'las', 'vegas', 'layover', 'heathrow', 'november', 'day', 'flying', 'weather', 'wasnt', 'great', 'since', 'business', 'really', 'needed', 'get', 'las', 'vegas', 'anticipated', 'checked', 'early', 'flight', 'still', 'leaving', 'would', 'ample', 'time', 'catch', 'earlier', 'flight', 'heathrow', 'even', 'take', 'train', 'checked', 'according', 'google', 'flight', 'delayed', 'would', 'miss', 'connection', 'according', 'staff', 'british', 'airways', 'flight', 'delayed', 'reason', 'panic', 'got', 'airport', 'still', 'nothing', 'wrong', 'connection', 'hour', 'supposed', 'leave', 'announced', 'plane', 'wasnt', 'yet', 'would', 'major', 'delay', 'called', 'customer', 'service', 'told', 'us', 'go', 'london', 'see', 'wanted', 'kind', 'assurance', 'could', 'placed', 'hotel', 'since', 'would', 'making', 'connecting', 'flight', 'refused', 'give', 'end', 'found', 'direct', 'flight', 'next', 'day', 'convinced', 'british', 'airways', 'book', 'us', 'even', 'though', 'wanted', 'connect', 'us', 'additional', 'layovers', 'resulted', 'approximately', 'hour', 'delay', 'trip', 'way', 'back', 'home', 'lost', 'luggage', 'gate', 'took', 'approximately', 'hours', 'find', 'wrong', 'gate', 'way', 'back', 'tried', 'check', 'online', 'portal', 'colleague', 'able', 'check', 'fine', 'couldnt', 'afraid', 'overbooked', 'contacted', 'customer', 'service', 'times', 'got', 'airport', 'overbooked', 'ground', 'staff', 'nerve', 'tell', 'fault', 'checking', 'online', 'since', 'seated', 'premium', 'economy', 'could', 'moved', 'regular', 'economy', 'mean', 'someone', 'economy', 'bumped', 'plane', 'got', 'london', 'flight', 'back', 'amsterdam', 'delayed', 'disabled', 'people', 'board', 'plane', 'still', 'enough', 'wheelchairs', 'get', 'took', 'approximately', 'hours', 'boarding', 'could', 'begin', 'finally', 'boarded', 'told', 'needed', 'new', 'pilot', 'old', 'pilot', 'made', 'many', 'hours', 'waiting', 'around', 'still', 'fly', 'us', 'amsterdam', 'arriving', 'amsterdam', 'left', 'luggage', 'las', 'vegas', 'needed', 'wait', 'another', 'week', 'given', 'back', 'afterwards', 'made', 'claim', 'soon', 'possible', 'delays', 'hotel', 'costs', 'almost', 'months', 'still', 'havent', 'replied', 'every', 'time', 'contact', 'claim', 'huge', 'backlog', 'takes', 'long', 'process']"
2,first the good news the club suites are such a huge improvement over the old business seats i hope i never see one again the not so good news im afraid to say was the flight itself the food has really gone downhill since my last flight presumably this is a cost cutting measure if other airlines can offer a really decent quality meal why cant an airline of bas stature ive always thought that a good crew can make up for all the shortcomings but not this time the crew member looking after me could not have been more bored and was obviously just going through the motions they couldnt even be bothered to say cheerio and im not sure i would have answered if they did heres hoping my return is a more satisfying experience,137,0.13903508771929823,positive,0.9437,positive,"['first', 'good', 'news', 'club', 'suites', 'huge', 'improvement', 'old', 'business', 'seats', 'hope', 'never', 'see', 'one', 'good', 'news', 'im', 'afraid', 'say', 'flight', 'food', 'really', 'gone', 'downhill', 'since', 'last', 'flight', 'presumably', 'cost', 'cutting', 'measure', 'airlines', 'offer', 'really', 'decent', 'quality', 'meal', 'cant', 'airline', 'bas', 'stature', 'ive', 'always', 'thought', 'good', 'crew', 'make', 'shortcomings', 'time', 'crew', 'member', 'looking', 'could', 'bored', 'obviously', 'going', 'motions', 'couldnt', 'even', 'bothered', 'say', 'cheerio', 'im', 'sure', 'would', 'answered', 'heres', 'hoping', 'return', 'satisfying', 'experience']"
3,i have never travelled with british airways before and this is the first time i chose to travel with ba due to the cheapest fare available during this time but i was bit unsure if i can enjoy my travel journey due to mixed reviews i would like to express my extreme joy and satisfaction travelling with this amazing airline i havent seen such a great efficient and friendly service by the cabin crew i would like to personally thanks ellie and adam who were not only very professional but very kind too food served was delicious and the drinks were good too i can say that i thoroughly enjoyed this flight and do not hesitate to recommend to anyone to try it,123,0.328,positive,0.995,positive,"['never', 'travelled', 'british', 'airways', 'first', 'time', 'chose', 'travel', 'ba', 'due', 'cheapest', 'fare', 'available', 'time', 'bit', 'unsure', 'enjoy', 'travel', 'journey', 'due', 'mixed', 'reviews', 'would', 'like', 'express', 'extreme', 'joy', 'satisfaction', 'travelling', 'amazing', 'airline', 'havent', 'seen', 'great', 'efficient', 'friendly', 'service', 'cabin', 'crew', 'would', 'like', 'personally', 'thanks', 'ellie', 'adam', 'professional', 'kind', 'food', 'served', 'delicious', 'drinks', 'good', 'say', 'thoroughly', 'enjoyed', 'flight', 'hesitate', 'recommend', 'anyone', 'try']"
4,terrible overall medium service and the flight was delayed there was no help at all to reschedule a connecting flight the customer support was terrible and the request for compensation is still pending after one year,36,-0.6666666666666666,negative,-0.5994,negative,"['terrible', 'overall', 'medium', 'service', 'flight', 'delayed', 'help', 'reschedule', 'connecting', 'flight', 'customer', 'support', 'terrible', 'request', 'compensation', 'still', 'pending', 'one', 'year']"
5,london heathrow to male in new business class ba continues to get its mojo back starting with a classy lounge serving innovative and interesting quality preflight food beetroot scotch eggs excellent wine whispering angel presentation of onboard food has always been a bit hit and miss with ba but on this occasion it was tasty and ok friendly and efficient on board crew smile treat them respectfully and as equals  on time flight and early arrival  only awarding a 9 because we were bussed from ac gates otherwise a really enjoyable experience,92,0.3007575757575757,positive,0.9883,positive,"['london', 'heathrow', 'male', 'new', 'business', 'class', 'ba', 'continues', 'get', 'mojo', 'back', 'starting', 'classy', 'lounge', 'serving', 'innovative', 'interesting', 'quality', 'preflight', 'food', 'beetroot', 'scotch', 'eggs', 'excellent', 'wine', 'whispering', 'angel', 'presentation', 'onboard', 'food', 'always', 'bit', 'hit', 'miss', 'ba', 'occasion', 'tasty', 'ok', 'friendly', 'efficient', 'board', 'crew', 'smile', 'treat', 'respectfully', 'equals', 'time', 'flight', 'early', 'arrival', 'awarding', 'bussed', 'ac', 'gates', 'otherwise', 'really', 'enjoyable', 'experience']"
6,very good flight following an equally good flight to rome good food especially on an evening flight and aircraft early both ways just what short haul should be,28,0.34428571428571425,positive,0.8618,positive,"['good', 'flight', 'following', 'equally', 'good', 'flight', 'rome', 'good', 'food', 'especially', 'evening', 'flight', 'aircraft', 'early', 'ways', 'short', 'haul']"
7,an hours delay due to late arrival of the incoming aircraft the captain was a particularly able communicator who kept us in touch with the situation we got freebie upgrades to emergency exit seats from a friendly member of the crew in the end we were only 30 minutes behind schedule in a relatively comfortable elderly plane pretty stress free,60,0.12222222222222223,positive,0.8442,positive,"['hours', 'delay', 'due', 'late', 'arrival', 'incoming', 'aircraft', 'captain', 'particularly', 'able', 'communicator', 'kept', 'us', 'touch', 'situation', 'got', 'freebie', 'upgrades', 'emergency', 'exit', 'seats', 'friendly', 'member', 'crew', 'end', 'minutes', 'behind', 'schedule', 'relatively', 'comfortable', 'elderly', 'plane', 'pretty', 'stress', 'free']"
8,i booked through ba because loganair dont have representatives in manchester airport loganair cancelled the flight but someone at ba marked the flight as delayed by 52 minutes ive spent over 70 days chasing bas complaints department who are at best totally ineffective they wont put you through to the people dealing with the claim apparently they dont have the facility to do so they wont phone loganair they wont look on manchester airports historic flight website to confirm the cancellation they wont put you through to a supervisor in fact they do very little but apologise for how little they do,102,0.07734375,positive,0.3795,positive,"['booked', 'ba', 'loganair', 'dont', 'representatives', 'manchester', 'airport', 'loganair', 'cancelled', 'flight', 'someone', 'ba', 'marked', 'flight', 'delayed', 'minutes', 'ive', 'spent', 'days', 'chasing', 'bas', 'complaints', 'department', 'best', 'totally', 'ineffective', 'wont', 'put', 'people', 'dealing', 'claim', 'apparently', 'dont', 'facility', 'wont', 'phone', 'loganair', 'wont', 'look', 'manchester', 'airports', 'historic', 'flight', 'website', 'confirm', 'cancellation', 'wont', 'put', 'supervisor', 'fact', 'little', 'apologise', 'little']"
9,british airways lost bags in lhr then found them sent to cologne where it sat for two days before they told me but no one was there to give it to me i spent 10 days in europe without a bag bought clothes ba refused to reimburse me they closed the case 10 days after i returned to the states when my bag showed up at my front door they wont let you talk to management they say they email mail you but they dont then you call customer service they say they will escalate it but you will never know they dont update the claims or the forms,109,-0.06666666666666667,negative,-0.7391,negative,"['british', 'airways', 'lost', 'bags', 'lhr', 'found', 'sent', 'cologne', 'sat', 'two', 'days', 'told', 'one', 'give', 'spent', 'days', 'europe', 'without', 'bag', 'bought', 'clothes', 'ba', 'refused', 'reimburse', 'closed', 'case', 'days', 'returned', 'states', 'bag', 'showed', 'front', 'door', 'wont', 'let', 'talk', 'management', 'say', 'email', 'mail', 'dont', 'call', 'customer', 'service', 'say', 'escalate', 'never', 'know', 'dont', 'update', 'claims', 'forms']"
